	Total Radiation	Avg Daily Radiation	Total Normalized	Total Direct Radiation	Avg Direct Radiation	Direct Normalized	Total Diffuse Radiation	Avg Diffuse Radiation	Diffuse Normalized	grade	grade Normalized	height	heigh Normalized
0	927338	2541	0.77901166	433010	1186	0.755471698	493517	1352	0.758555133	0	0	0	0
1	890935	2441	0.723486952	399392	1094	0.686037736	492195	1348	0.75095057	7	0.1	1	0.007246377
2	837152	2294	0.64186563	345286	946	0.574339623	491687	1347	0.74904943	19	0.271428571	5	0.036231884
3	746624	2046	0.504164353	275493	755	0.430188679	471526	1292	0.644486692	32	0.457142857	10	0.072463768
4	649342	1779	0.355913381	207446	568	0.289056604	441779	1210	0.488593156	44	0.628571429	17	0.123188406
5	537317	1472	0.185452526	136390	374	0.142641509	400809	1098	0.275665399	57	0.814285714	25	0.18115942
6	444999	1219	0.044975014	83522.4	229	0.033207547	361517	990	0.070342205	67	0.957142857	34	0.246376812
7	415290	1138	0	67389.2	185	0	347901	953	0	70	1	44	0.31884058
8	417009	1142	0.002220988	68304.4	187	0.001509434	348705	955	0.003802281	70	1	53	0.384057971
9	416619	1141	0.001665741	68096.3	187	0.001509434	348522	955	0.003802281	70	1	62	0.449275362
10	422218	1157	0.010549695	71097.5	195	0.00754717	351127	962	0.017110266	70	1	72	0.52173913
11	440656	1207	0.038312049	81128.7	222	0.027924528	359528	985	0.060836502	67	0.957142857	81	0.586956522
12	466056	1277	0.077179345	95288.7	261	0.057358491	370767	1016	0.119771863	65	0.928571429	90	0.652173913
13	496450	1360	0.123264853	112498	308	0.092830189	383916	1052	0.188212928	61	0.871428571	99	0.717391304
14	534863	1465	0.181565797	134774	369	0.138867925	400092	1096	0.271863118	57	0.814285714	107	0.775362319
15	583676	1599	0.255968906	163847	449	0.199245283	419830	1150	0.374524715	52	0.742857143	115	0.833333333
16	646462	1771	0.351471405	202798	556	0.28	443669	1216	0.5	46	0.657142857	122	0.884057971
17	725875	1989	0.472515269	254837	698	0.387169811	471038	1291	0.642585551	38	0.542857143	129	0.934782609
18	823167	2255	0.620210994	323608	887	0.529811321	499559	1369	0.790874525	29	0.414285714	134	0.971014493
19	925709	2536	0.776235425	401147	1099	0.689811321	524561	1437	0.920152091	18	0.257142857	137	0.992753623
20	1011070	2770	0.906163243	471123	1291	0.834716981	539946	1479	1	6	0.085714286	138	1
21	1061990	2910	0.983897835	522038	1430	0.939622642	539952	1479	1	6	0.085714286	138	1
22	1072710	2939	1	548138	1502	0.993962264	524572	1437	0.920152091	18	0.257142857	137	0.992753623
23	1050830	2879	0.966685175	551240	1510	1	499586	1369	0.790874525	29	0.414285714	134	0.971014493
24	1009640	2766	0.903942254	538573	1476	0.974339623	471065	1291	0.642585551	38	0.542857143	129	0.934782609
25	961275	2634	0.830649639	517605	1418	0.930566038	443674	1216	0.5	46	0.657142857	122	0.884057971
26	913759	2503	0.757912271	493919	1353	0.881509434	419842	1150	0.374524715	52	0.742857143	115	0.833333333
27	870993	2386	0.692948362	470874	1290	0.833962264	400119	1096	0.271863118	57	0.814285714	107	0.775362319
28	833746	2284	0.636313159	449807	1232	0.790188679	383939	1052	0.188212928	61	0.871428571	99	0.717391304
29	802174	2198	0.58856191	431412	1182	0.75245283	370754	1016	0.119771863	65	0.928571429	90	0.652173913
30	774522	2122	0.546363132	415004	1137	0.718490566	359519	985	0.060836502	67	0.957142857	81	0.586956522
31	753330	2064	0.514158801	402219	1102	0.692075472	351099	962	0.017110266	70	1	72	0.52173913
32	746604	2045	0.503609106	398120	1091	0.683773585	348488	955	0.003802281	70	1	62	0.449275362
33	747047	2047	0.5047196	398396	1091	0.683773585	348655	955	0.003802281	70	1	53	0.384057971
34	744974	2041	0.501388118	397138	1088	0.681509434	347830	953	0	70	1	44	0.31884058
35	779744	2136	0.554136591	418363	1146	0.725283019	361390	990	0.070342205	67	0.957142857	34	0.246376812
36	875519	2399	0.700166574	475458	1303	0.843773585	400085	1096	0.271863118	57	0.814285714	25	0.18115942
37	965520	2645	0.836757357	525501	1440	0.947169811	440011	1206	0.480988593	44	0.628571429	17	0.123188406
38	1015410	2782	0.912826208	548892	1504	0.995471698	466302	1278	0.617870722	32	0.457142857	10	0.072463768
39	1037140	2841	0.945585786	549544	1506	0.996981132	487399	1335	0.726235741	19	0.271428571	5	0.036231884
40	1020730	2797	0.921154914	525723	1440	0.947169811	495023	1356	0.766159696	7	0.1	1	0.007246377
41	993766	2723	0.88006663	499519	1369	0.893584906	494513	1355	0.764258555	0	0	0	0
